Plataforma,Ventas_norteamerica,Calificacion_critica
DS,510000.0,79.0
DS,610000.0,68.0
DS,490000.0,88.0
DS,710000.0,73.0
DS,210000.0,46.0
DS,210000.0,69.0
DS,280000.0,76.0
DS,570000.0,85.0
DS,380000.0,80.0
DS,660000.0,63.0
DS,290000.0,65.0
DS,410000.0,55.0
DS,430000.0,65.0
DS,350000.0,70.0
DS,360000.0,86.0
DS,620000.0,66.0
DS,230000.0,78.0
DS,130000.0,63.0
DS,310000.0,50.0
DS,630000.0,69.0
DS,310000.0,68.0
DS,380000.0,73.0
DS,220000.0,77.0
DS,120000.0,70.0
DS,340000.0,69.0
DS,280000.0,60.0
DS,440000.0,72.0
DS,200000.0,48.0
DS,290000.0,81.0
DS,430000.0,86.0
DS,250000.0,67.0
DS,280000.0,43.0
DS,330000.0,69.0
DS,310000.0,60.0
DS,170000.0,82.0
DS,500000.0,74.0
DS,220000.0,71.0
DS,250000.0,68.0
DS,180000.0,67.0
DS,500000.0,67.0
DS,260000.0,82.0
DS,260000.0,78.0
DS,310000.0,47.0
DS,350000.0,78.0
DS,40000.0,69.0
DS,210000.0,56.0
DS,350000.0,75.0
DS,310000.0,60.0
DS,380000.0,76.0
DS,170000.0,69.0
DS,470000.0,70.0
DS,320000.0,77.0
DS,260000.0,70.0
DS,360000.0,70.0
DS,350000.0,56.0
DS,330000.0,47.0
DS,170000.0,83.0
DS,100000.0,56.0
DS,410000.0,61.0
DS,280000.0,83.0
DS,130000.0,66.0
DS,420000.0,61.0
DS,450000.0,56.0
DS,120000.0,84.0
DS,420000.0,73.0
DS,160000.0,65.0
DS,250000.0,78.0
DS,430000.0,55.0
DS,120000.0,75.0
DS,410000.0,79.0
DS,260000.0,57.0
DS,420000.0,65.0
DS,290000.0,83.0
DS,420000.0,79.0
DS,410000.0,68.0
DS,410000.0,58.0
DS,320000.0,80.0
DS,370000.0,80.0
DS,130000.0,83.0
DS,200000.0,65.0
DS,160000.0,69.0
DS,400000.0,73.0
DS,210000.0,82.0
DS,290000.0,68.0
DS,340000.0,89.0
DS,390000.0,56.0
DS,380000.0,45.0
DS,220000.0,74.0
DS,360000.0,61.0
DS,150000.0,53.0
DS,190000.0,56.0
DS,260000.0,77.0
DS,240000.0,55.0
DS,370000.0,57.0
DS,310000.0,85.0
DS,60000.0,57.0
DS,300000.0,90.0
DS,60000.0,57.0
DS,170000.0,83.0
DS,200000.0,54.0
DS,210000.0,70.0
DS,130000.0,70.0
DS,330000.0,68.0
DS,320000.0,56.0
DS,190000.0,55.0
DS,300000.0,87.0
DS,270000.0,85.0
DS,120000.0,73.0
DS,300000.0,81.0
DS,70000.0,81.0
DS,300000.0,66.0
DS,160000.0,61.0
DS,310000.0,67.0
DS,290000.0,69.0
DS,280000.0,82.0
DS,140000.0,54.0
DS,290000.0,75.0
DS,220000.0,78.0
DS,300000.0,64.0
DS,300000.0,80.0
DS,140000.0,86.0
DS,190000.0,75.0
DS,290000.0,60.0
DS,180000.0,63.0
DS,120000.0,77.0
DS,160000.0,79.0
DS,130000.0,60.0
DS,170000.0,78.0
DS,250000.0,73.0
DS,280000.0,83.0
DS,280000.0,66.0
DS,270000.0,45.0
DS,150000.0,64.0
DS,260000.0,70.0
DS,190000.0,85.0
DS,230000.0,74.0
DS,270000.0,59.0
DS,190000.0,69.0
DS,240000.0,60.0
DS,230000.0,43.0
DS,150000.0,70.0
DS,170000.0,75.0
DS,260000.0,70.0
DS,260000.0,50.0
DS,260000.0,56.0
DS,150000.0,69.0
DS,160000.0,76.0
DS,130000.0,80.0
DS,240000.0,71.0
DS,160000.0,71.0
DS,140000.0,65.0
DS,250000.0,71.0
DS,240000.0,58.0
DS,240000.0,59.0
DS,240000.0,45.0
DS,240000.0,46.0
DS,250000.0,87.0
DS,90000.0,76.0
DS,130000.0,84.0
DS,90000.0,82.0
DS,110000.0,71.0
DS,210000.0,58.0
DS,240000.0,46.0
DS,230000.0,63.0
DS,240000.0,68.0
DS,130000.0,73.0
DS,210000.0,79.0
DS,230000.0,71.0
DS,90000.0,49.0
DS,210000.0,64.0
DS,70000.0,36.0
DS,160000.0,50.0
DS,220000.0,56.0
DS,100000.0,75.0
DS,220000.0,50.0
DS,160000.0,70.0
DS,220000.0,72.0
DS,50000.0,63.0
DS,110000.0,71.0
DS,220000.0,62.0
DS,210000.0,66.0
DS,90000.0,63.0
DS,200000.0,68.0
DS,150000.0,88.0
DS,210000.0,63.0
DS,70000.0,48.0
DS,170000.0,82.0
DS,200000.0,79.0
DS,180000.0,59.0
DS,200000.0,73.0
DS,200000.0,76.0
DS,180000.0,80.0
DS,200000.0,61.0
DS,80000.0,49.0
DS,200000.0,56.0
DS,100000.0,53.0
DS,190000.0,69.0
DS,190000.0,82.0
DS,10000.0,57.0
DS,30000.0,68.0
DS,170000.0,43.0
DS,100000.0,55.0
DS,190000.0,84.0
DS,200000.0,70.0
DS,190000.0,54.0
DS,160000.0,83.0
DS,160000.0,78.0
DS,190000.0,39.0
DS,120000.0,69.0
DS,170000.0,70.0
DS,190000.0,57.0
DS,60000.0,75.0
DS,160000.0,65.0
DS,180000.0,68.0
DS,100000.0,59.0
DS,150000.0,55.0
DS,80000.0,76.0
DS,70000.0,57.0
DS,180000.0,49.0
DS,50000.0,46.0
DS,170000.0,82.0
DS,20000.0,61.0
DS,170000.0,73.0
DS,150000.0,70.0
DS,160000.0,72.0
DS,120000.0,51.0
DS,110000.0,82.0
DS,130000.0,69.0
DS,170000.0,34.0
DS,150000.0,65.0
DS,150000.0,38.0
DS,140000.0,58.0
DS,140000.0,72.0
DS,90000.0,59.0
DS,150000.0,72.0
DS,110000.0,58.0
DS,130000.0,62.0
DS,150000.0,44.0
DS,40000.0,52.0
DS,100000.0,74.0
DS,150000.0,69.0
DS,90000.0,76.0
DS,110000.0,66.0
DS,120000.0,59.0
DS,120000.0,66.0
DS,130000.0,63.0
DS,140000.0,50.0
DS,10000.0,74.0
DS,50000.0,70.0
DS,30000.0,64.0
DS,140000.0,62.0
DS,110000.0,80.0
DS,140000.0,78.0
DS,140000.0,26.0
DS,130000.0,77.0
DS,140000.0,75.0
DS,120000.0,82.0
DS,140000.0,57.0
DS,100000.0,75.0
DS,120000.0,85.0
DS,140000.0,40.0
DS,130000.0,54.0
DS,140000.0,63.0
DS,140000.0,39.0
DS,130000.0,68.0
DS,130000.0,64.0
DS,130000.0,56.0
DS,10000.0,68.0
DS,70000.0,43.0
DS,130000.0,79.0
DS,70000.0,66.0
DS,130000.0,65.0
DS,130000.0,19.0
DS,130000.0,62.0
DS,130000.0,38.0
DS,80000.0,70.0
DS,130000.0,38.0
DS,120000.0,75.0
DS,120000.0,62.0
DS,120000.0,70.0
DS,110000.0,47.0
DS,120000.0,50.0
DS,80000.0,68.0
DS,120000.0,72.0
DS,120000.0,49.0
DS,120000.0,50.0
DS,120000.0,51.0
DS,110000.0,65.0
DS,110000.0,65.0
DS,100000.0,52.0
DS,120000.0,64.0
DS,120000.0,53.0
DS,80000.0,58.0
DS,120000.0,28.0
DS,120000.0,80.0
DS,70000.0,78.0
DS,110000.0,61.0
DS,110000.0,65.0
DS,70000.0,73.0
DS,120000.0,68.0
DS,120000.0,41.0
DS,100000.0,60.0
DS,120000.0,51.0
DS,120000.0,36.0
DS,100000.0,71.0
DS,110000.0,74.0
DS,110000.0,61.0
DS,110000.0,59.0
DS,110000.0,66.0
DS,110000.0,68.0
DS,80000.0,64.0
DS,110000.0,33.0
DS,110000.0,59.0
DS,90000.0,68.0
DS,100000.0,59.0
DS,110000.0,28.0
DS,80000.0,70.0
DS,110000.0,61.0
DS,60000.0,73.0
DS,90000.0,68.0
DS,110000.0,61.0
DS,100000.0,66.0
DS,100000.0,56.0
DS,110000.0,84.0
DS,100000.0,64.0
DS,110000.0,61.0
DS,80000.0,78.0
DS,80000.0,55.0
DS,110000.0,66.0
DS,100000.0,74.0
DS,80000.0,50.0
DS,100000.0,76.0
DS,90000.0,72.0
DS,100000.0,28.0
DS,70000.0,44.0
DS,80000.0,75.0
DS,100000.0,65.0
DS,90000.0,75.0
DS,100000.0,58.0
DS,80000.0,75.0
DS,60000.0,72.0
DS,100000.0,39.0
DS,100000.0,60.0
DS,90000.0,55.0
DS,100000.0,35.0
DS,70000.0,69.0
DS,100000.0,45.0
DS,100000.0,35.0
DS,90000.0,67.0
DS,100000.0,47.0
DS,80000.0,75.0
DS,70000.0,82.0
DS,70000.0,64.0
DS,70000.0,55.0
DS,100000.0,45.0
DS,100000.0,79.0
DS,100000.0,50.0
DS,100000.0,71.0
DS,90000.0,61.0
DS,90000.0,64.0
DS,100000.0,62.0
DS,90000.0,34.0
DS,100000.0,59.0
DS,90000.0,56.0
DS,90000.0,61.0
DS,80000.0,53.0
DS,90000.0,71.0
DS,90000.0,56.0
DS,90000.0,25.0
DS,90000.0,43.0
DS,70000.0,57.0
DS,90000.0,77.0
DS,70000.0,73.0
DS,80000.0,68.0
DS,80000.0,72.0
DS,60000.0,63.0
DS,80000.0,57.0
DS,90000.0,71.0
DS,90000.0,49.0
DS,90000.0,54.0
DS,90000.0,48.0
DS,80000.0,73.0
DS,70000.0,60.0
DS,90000.0,57.0
DS,90000.0,46.0
DS,60000.0,60.0
DS,90000.0,46.0
DS,90000.0,66.0
DS,70000.0,73.0
DS,80000.0,32.0
DS,80000.0,45.0
DS,40000.0,70.0
DS,80000.0,69.0
DS,50000.0,58.0
DS,80000.0,80.0
DS,80000.0,46.0
DS,80000.0,43.0
DS,80000.0,61.0
DS,80000.0,71.0
DS,60000.0,56.0
DS,80000.0,48.0
DS,80000.0,43.0
DS,80000.0,53.0
DS,80000.0,82.0
DS,70000.0,79.0
DS,80000.0,51.0
DS,80000.0,60.0
DS,80000.0,38.0
DS,60000.0,52.0
DS,60000.0,76.0
DS,80000.0,34.0
DS,80000.0,60.0
DS,80000.0,48.0
DS,80000.0,47.0
DS,60000.0,71.0
DS,70000.0,60.0
DS,80000.0,54.0
DS,70000.0,73.0
DS,70000.0,59.0
DS,70000.0,51.0
DS,70000.0,33.0
DS,50000.0,64.0
DS,60000.0,75.0
DS,50000.0,55.0
DS,50000.0,78.0
DS,70000.0,83.0
DS,70000.0,69.0
DS,70000.0,67.0
DS,70000.0,73.0
DS,70000.0,75.0
DS,70000.0,70.0
DS,70000.0,33.0
DS,30000.0,78.0
DS,70000.0,58.0
DS,70000.0,68.0
DS,70000.0,66.0
DS,50000.0,70.0
DS,70000.0,78.0
DS,70000.0,23.0
DS,60000.0,50.0
DS,70000.0,44.0
DS,60000.0,35.0
DS,40000.0,56.0
DS,40000.0,58.0
DS,60000.0,65.0
DS,60000.0,56.0
DS,60000.0,70.0
DS,60000.0,40.0
DS,60000.0,82.0
DS,60000.0,57.0
DS,60000.0,48.0
DS,60000.0,54.0
DS,60000.0,75.0
DS,60000.0,66.0
DS,60000.0,64.0
DS,10000.0,58.0
DS,60000.0,61.0
DS,60000.0,41.0
DS,50000.0,53.0
DS,60000.0,66.0
DS,60000.0,55.0
DS,60000.0,69.0
DS,60000.0,60.0
DS,50000.0,70.0
DS,60000.0,79.0
DS,50000.0,57.0
DS,60000.0,72.0
DS,60000.0,59.0
DS,60000.0,54.0
DS,60000.0,65.0
DS,60000.0,66.0
DS,60000.0,61.0
DS,50000.0,78.0
DS,50000.0,70.0
DS,60000.0,70.0
DS,60000.0,61.0
DS,60000.0,33.0
DS,50000.0,63.0
DS,50000.0,61.0
DS,50000.0,58.0
DS,50000.0,65.0
DS,50000.0,61.0
DS,50000.0,81.0
DS,50000.0,71.0
DS,50000.0,70.0
DS,50000.0,33.0
DS,50000.0,70.0
DS,50000.0,68.0
DS,50000.0,60.0
DS,50000.0,59.0
DS,50000.0,65.0
DS,50000.0,42.0
DS,50000.0,58.0
DS,40000.0,66.0
DS,50000.0,58.0
DS,50000.0,59.0
DS,50000.0,67.0
DS,50000.0,58.0
DS,50000.0,66.0
DS,50000.0,71.0
DS,30000.0,75.0
DS,50000.0,60.0
DS,50000.0,73.0
DS,30000.0,37.0
DS,50000.0,51.0
DS,40000.0,79.0
DS,40000.0,69.0
DS,50000.0,60.0
DS,40000.0,71.0
DS,50000.0,44.0
DS,50000.0,49.0
DS,40000.0,54.0
DS,40000.0,55.0
DS,40000.0,71.0
DS,40000.0,70.0
DS,30000.0,63.0
DS,40000.0,34.0
DS,40000.0,53.0
DS,40000.0,72.0
DS,40000.0,38.0
DS,30000.0,58.0
DS,40000.0,67.0
DS,40000.0,48.0
DS,40000.0,35.0
DS,10000.0,72.0
DS,40000.0,58.0
