Plataforma,Ventas_europeas,Calificacion_critica
Wii,50000.0,70.0
Wii,150000.0,70.0
Wii,150000.0,59.0
Wii,40000.0,73.0
Wii,20000.0,69.0
Wii,90000.0,43.0
Wii,20000.0,79.0
Wii,20000.0,59.0
Wii,20000.0,61.0
Wii,110000.0,84.0
Wii,70000.0,66.0
Wii,20000.0,72.0
Wii,10000.0,52.0
Wii,10000.0,70.0
Wii,220000.0,51.0
Wii,210000.0,73.0
Wii,220000.0,68.0
Wii,130000.0,79.0
Wii,160000.0,79.0
Wii,120000.0,67.0
Wii,110000.0,76.0
Wii,30000.0,49.0
Wii,20000.0,63.0
Wii,30000.0,60.0
Wii,10000.0,79.0
Wii,110000.0,85.0
Wii,80000.0,74.0
Wii,20000.0,75.0
Wii,10000.0,80.0
Wii,10000.0,62.0
Wii,130000.0,54.0
Wii,130000.0,47.0
Wii,10000.0,74.0
Wii,20000.0,65.0
Wii,20000.0,70.0
Wii,130000.0,65.0
Wii,150000.0,41.0
Wii,10000.0,75.0
Wii,50000.0,50.0
Wii,10000.0,58.0
Wii,20000.0,45.0
Wii,20000.0,73.0
Wii,100000.0,73.0
Wii,130000.0,58.0
Wii,10000.0,46.0
Wii,40000.0,76.0
Wii,30000.0,72.0
Wii,100000.0,67.0
Wii,160000.0,60.0
Wii,100000.0,87.0
Wii,30000.0,69.0
Wii,20000.0,70.0
Wii,40000.0,77.0
Wii,10000.0,68.0
Wii,10000.0,65.0
Wii,70000.0,61.0
Wii,30000.0,72.0
Wii,10000.0,57.0
Wii,120000.0,50.0
Wii,20000.0,56.0
Wii,140000.0,75.0
Wii,120000.0,64.0
Wii,100000.0,41.0
Wii,20000.0,62.0
Wii,40000.0,49.0
Wii,10000.0,59.0
Wii,70000.0,49.0
Wii,90000.0,55.0
Wii,90000.0,69.0
Wii,60000.0,64.0
Wii,10000.0,63.0
Wii,10000.0,57.0
Wii,40000.0,53.0
Wii,20000.0,62.0
Wii,90000.0,51.0
Wii,30000.0,62.0
Wii,90000.0,75.0
Wii,210000.0,51.0
Wii,10000.0,56.0
Wii,100000.0,74.0
Wii,110000.0,77.0
Wii,50000.0,58.0
Wii,10000.0,27.0
Wii,110000.0,74.0
Wii,30000.0,59.0
Wii,20000.0,71.0
Wii,70000.0,41.0
Wii,100000.0,78.0
Wii,10000.0,61.0
Wii,10000.0,72.0
Wii,20000.0,52.0
Wii,70000.0,46.0
Wii,100000.0,58.0
Wii,10000.0,51.0
Wii,120000.0,72.0
Wii,30000.0,51.0
Wii,20000.0,56.0
Wii,10000.0,46.0
Wii,80000.0,79.0
Wii,20000.0,60.0
Wii,100000.0,67.0
Wii,10000.0,80.0
Wii,70000.0,53.0
Wii,10000.0,70.0
Wii,10000.0,53.0
Wii,30000.0,65.0
Wii,20000.0,49.0
Wii,20000.0,71.0
Wii,60000.0,81.0
Wii,70000.0,68.0
Wii,110000.0,44.0
Wii,10000.0,72.0
Wii,60000.0,54.0
Wii,80000.0,39.0
Wii,10000.0,52.0
Wii,60000.0,79.0
Wii,10000.0,38.0
Wii,30000.0,59.0
Wii,60000.0,70.0
Wii,120000.0,63.0
Wii,10000.0,57.0
Wii,90000.0,64.0
Wii,20000.0,49.0
Wii,10000.0,61.0
Wii,50000.0,74.0
Wii,20000.0,77.0
Wii,40000.0,56.0
Wii,20000.0,74.0
Wii,10000.0,64.0
Wii,10000.0,71.0
Wii,80000.0,54.0
Wii,10000.0,73.0
Wii,20000.0,54.0
Wii,80000.0,65.0
Wii,10000.0,35.0
Wii,10000.0,49.0
Wii,20000.0,69.0
Wii,10000.0,61.0
Wii,20000.0,60.0
Wii,10000.0,49.0
Wii,40000.0,52.0
Wii,10000.0,46.0
Wii,40000.0,64.0
Wii,20000.0,64.0
Wii,20000.0,74.0
Wii,10000.0,25.0
Wii,10000.0,53.0
Wii,10000.0,54.0
Wii,40000.0,49.0
Wii,10000.0,66.0
Wii,20000.0,71.0
Wii,30000.0,50.0
Wii,40000.0,75.0
Wii,10000.0,39.0
Wii,30000.0,65.0
Wii,20000.0,36.0
Wii,30000.0,47.0
Wii,10000.0,42.0
Wii,30000.0,56.0
Wii,10000.0,58.0
Wii,30000.0,46.0
Wii,20000.0,62.0
Wii,20000.0,84.0
Wii,10000.0,46.0
Wii,10000.0,56.0
Wii,10000.0,66.0
Wii,10000.0,38.0
Wii,20000.0,64.0
Wii,10000.0,50.0
Wii,50000.0,37.0
Wii,20000.0,69.0
Wii,20000.0,45.0
Wii,10000.0,37.0
Wii,10000.0,65.0
Wii,10000.0,65.0
Wii,30000.0,66.0
Wii,20000.0,74.0
Wii,10000.0,47.0
Wii,10000.0,39.0
Wii,20000.0,76.0
Wii,10000.0,59.0
Wii,20000.0,70.0
Wii,10000.0,54.0
