Plataforma,Ventas_norteamerica,Calificacion_critica
PSP,90000.0,69.0
PSP,90000.0,62.0
PSP,90000.0,67.0
PSP,90000.0,28.0
PSP,80000.0,74.0
PSP,90000.0,66.0
PSP,80000.0,79.0
PSP,80000.0,68.0
PSP,60000.0,80.0
PSP,80000.0,64.0
PSP,30000.0,72.0
PSP,80000.0,70.0
PSP,80000.0,44.0
PSP,70000.0,68.0
PSP,80000.0,54.0
PSP,70000.0,45.0
PSP,80000.0,79.0
PSP,70000.0,64.0
PSP,60000.0,65.0
PSP,60000.0,84.0
PSP,80000.0,63.0
PSP,60000.0,75.0
PSP,50000.0,66.0
PSP,80000.0,61.0
PSP,70000.0,62.0
PSP,70000.0,77.0
PSP,70000.0,45.0
PSP,70000.0,69.0
PSP,70000.0,83.0
PSP,70000.0,61.0
PSP,70000.0,51.0
PSP,50000.0,56.0
PSP,70000.0,72.0
PSP,70000.0,51.0
PSP,70000.0,69.0
PSP,70000.0,72.0
PSP,70000.0,51.0
PSP,70000.0,61.0
PSP,70000.0,61.0
PSP,60000.0,73.0
PSP,50000.0,69.0
PSP,60000.0,32.0
PSP,60000.0,61.0
PSP,60000.0,55.0
PSP,60000.0,57.0
PSP,20000.0,56.0
PSP,60000.0,74.0
PSP,50000.0,72.0
PSP,50000.0,54.0
PSP,60000.0,63.0
PSP,40000.0,76.0
PSP,60000.0,78.0
PSP,60000.0,72.0
PSP,60000.0,55.0
PSP,50000.0,56.0
PSP,50000.0,52.0
PSP,50000.0,59.0
PSP,50000.0,66.0
PSP,50000.0,78.0
PSP,50000.0,73.0
PSP,50000.0,60.0
PSP,50000.0,60.0
PSP,50000.0,36.0
PSP,50000.0,62.0
PSP,50000.0,75.0
PSP,40000.0,57.0
PSP,50000.0,41.0
PSP,50000.0,68.0
PSP,50000.0,50.0
PSP,20000.0,78.0
PSP,50000.0,58.0
PSP,40000.0,74.0
PSP,40000.0,57.0
PSP,40000.0,67.0
PSP,40000.0,50.0
PSP,40000.0,76.0
PSP,20000.0,79.0
PSP,40000.0,64.0
PSP,40000.0,52.0
PSP,40000.0,49.0
PSP,10000.0,68.0
PSP,40000.0,75.0
PSP,40000.0,37.0
PSP,40000.0,51.0
PSP,40000.0,42.0
PSP,40000.0,68.0
PSP,20000.0,78.0
PSP,30000.0,67.0
PSP,30000.0,50.0
PSP,40000.0,60.0
PSP,30000.0,82.0
PSP,30000.0,62.0
PSP,30000.0,37.0
PSP,30000.0,63.0
PSP,30000.0,63.0
PSP,20000.0,67.0
PSP,30000.0,70.0
PSP,30000.0,69.0
PSP,30000.0,41.0
PSP,30000.0,38.0
PSP,30000.0,48.0
PSP,30000.0,63.0
PSP,30000.0,60.0
PSP,30000.0,58.0
PSP,30000.0,76.0
PSP,30000.0,47.0
PSP,30000.0,79.0
PSP,30000.0,55.0
PSP,30000.0,51.0
PSP,30000.0,75.0
PSP,30000.0,81.0
PSP,30000.0,47.0
PSP,20000.0,41.0
PSP,20000.0,64.0
PSP,20000.0,57.0
PSP,20000.0,51.0
PSP,20000.0,60.0
PSP,20000.0,58.0
PSP,20000.0,57.0
PSP,20000.0,65.0
PSP,10000.0,84.0
PSP,20000.0,62.0
PSP,10000.0,61.0
PSP,20000.0,60.0
PSP,20000.0,59.0
PSP,10000.0,60.0
PSP,10000.0,71.0
PSP,10000.0,43.0
PSP,10000.0,56.0
